,circuito,localidad,local,accesibilidad,tipo,depto,serie,desde,hasta,ap,avp,ca,pc,pca,peri,fa,is,pi,pn,pcn,core
471,25,COLONIA,CTC - COLONIA-CORONEL ARROYO 521 ESQ. RIVERA,NO,URBANO,,NAB,26195.0,26708.0,0.003278688524590164,0.003278688524590164,0.022950819672131147,0.15081967213114755,0.0,0.0,0.4524590163934426,0.036065573770491806,0.019672131147540985,0.3114754098360656,0.0,0.5049180327868853
472,25,SAN JOSÉ DE MAYO,ANTEL - SALA VIDEOCONFERENCIAS-CIGANDA ESQ. SARANDI,SÍ,URBANO,,OAC,1.0,5521.0,0.0,0.0,0.016286644951140065,0.13029315960912052,0.0,0.009771986970684038,0.4006514657980456,0.013029315960912053,0.026058631921824105,0.40390879478827363,0.0,0.5765472312703583
473,25,ANDRESITO,ESCUELA N° 7-AURORA LIMA IPAR,SÍ,RURAL,,PAC,1.0,1994.0,0.0,0.0,0.008849557522123894,0.2079646017699115,0.0,0.004424778761061947,0.22123893805309736,0.017699115044247787,0.008849557522123894,0.5265486725663717,0.004424778761061947,0.752212389380531
474,25,FLORIDA,LICEO N°2-JOAQUÍN SUÁREZ 3437 ESQ. INDEPENDENCIA,SÍ,URBANO,,QAA,46803.0,47428.0,0.0,0.0,0.017142857142857144,0.16285714285714287,0.008571428571428572,0.011428571428571429,0.4742857142857143,0.03428571428571429,0.02857142857142857,0.26285714285714284,0.0,0.48
475,25,DURAZNO,COLEGIO SAN LUIS-WILSON FERREIRA 726,SÍ,URBANO,,RAB,12961.0,14915.0,0.0,0.0,0.03235294117647059,0.2852941176470588,0.0,0.0,0.3,0.020588235294117647,0.014705882352941176,0.34705882352941175,0.0,0.6794117647058824
476,25,MINAS,LICEO N° 2-DR. RIVERO Y GUERNICA S/N,SÍ,URBANO,,SAA,44206.0,44872.0,0.0,0.002932551319648094,0.020527859237536656,0.24633431085043989,0.005865102639296188,0.008797653958944282,0.3870967741935484,0.03225806451612903,0.008797653958944282,0.2873900293255132,0.0,0.5689149560117301
477,25,TACUAREMBÓ,CLUB TACUAREMBÓ-18 DE JULIO 288 ESQ. WHASINGTON BELTRAN,NO,URBANO,,TAA,55927.0,56624.0,0.0028011204481792717,0.0,0.05042016806722689,0.22128851540616246,0.014005602240896359,0.0028011204481792717,0.3389355742296919,0.03361344537815126,0.022408963585434174,0.31092436974789917,0.0028011204481792717,0.6190476190476191
478,26,,BPS - HISTORIA LABORAL-SARANDÍ 332 ESQ. ALZAIBAR,SÍ,,Montevideo,ACA,10629.0,11183.0,0.0125,0.0,0.0375,0.121875,0.00625,0.00625,0.6,0.03125,0.009375,0.175,0.0,0.35
479,26,CANELONES,ESCUELA N° 110-BATLLE Y ORDOÑEZ S/N ESQ VÁZQUEZ VARELA,SÍ,URBANO,Canelones,CAA,37427.0,37975.0,0.005952380952380952,0.0,0.008928571428571428,0.11607142857142858,0.0,0.008928571428571428,0.5744047619047619,0.03571428571428571,0.011904761904761904,0.23809523809523808,0.0,0.375
480,26,MALDONADO,IGLESIA JESUCRISTO S.U.D.-FLORIDA S/N ESQ. SAN CARLOS,SÍ,URBANO,,DAA,39569.0,40193.0,0.0028089887640449437,0.0028089887640449437,0.02247191011235955,0.21629213483146068,0.016853932584269662,0.0,0.19662921348314608,0.06179775280898876,0.025280898876404494,0.4550561797752809,0.0,0.7359550561797753
